Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2018-08-16,V (Oct 2018),0.0000,14.7500,15.4000,0.0000,15.0500,0,0,0,0
2018-08-17,V (Oct 2018),0.0000,14.8000,15.1000,0.0000,14.8000,-0.2500,0,0,0
2018-08-20,V (Oct 2018),0.0000,14.2000,14.9000,0.0000,14.6000,-0.2000,0,0,0
2018-08-21,V (Oct 2018),0.0000,14.5000,14.4000,0.0000,14.7250,0.1250,0,0,0
2018-08-22,V (Oct 2018),0.0000,14.3500,15.0500,0.0000,14.6500,-0.0750,0,0,0
2018-08-23,V (Oct 2018),0.0000,14.2500,15.0000,0.0000,14.6000,-0.0500,0,0,0
2018-08-24,V (Oct 2018),0.0000,14.0500,14.9000,0.0000,14.6000,0.0000,0,0,0
2018-08-27,V (Oct 2018),0.0000,14.1500,14.9000,0.0000,14.6250,0.0250,0,0,0
2018-08-28,V (Oct 2018),0.0000,14.3500,15.0500,0.0000,14.6250,0.0000,0,0,0
2018-08-29,V (Oct 2018),0.0000,14.3000,15.0500,0.0000,14.6000,-0.0250,0,0,0
2018-08-30,V (Oct 2018),14.5500,15.0000,14.5500,14.5500,15.1000,0.5000,1,0,1
2018-08-31,V (Oct 2018),0.0000,14.9500,14.8500,0.0000,14.5250,-0.5750,0,0,1
2018-09-04,V (Oct 2018),0.0000,14.9500,14.8000,0.0000,14.6250,0.1000,0,0,1
2018-09-05,V (Oct 2018),0.0000,15.1000,15.0000,0.0000,15.0250,0.4000,0,0,1
2018-09-06,V (Oct 2018),0.0000,15.4500,15.2000,0.0000,15.4000,0.3750,0,0,1
2018-09-07,V (Oct 2018),0.0000,15.4500,15.6000,0.0000,15.7250,0.3250,0,0,1
2018-09-10,V (Oct 2018),0.0000,15.1500,15.1000,0.0000,15.1000,-0.6250,0,0,1
2018-09-11,V (Oct 2018),0.0000,15.1500,14.8000,0.0000,14.6000,-0.5000,0,0,1
2018-09-12,V (Oct 2018),0.0000,14.2000,14.9500,0.0000,14.7250,0.1250,0,0,1
2018-09-13,V (Oct 2018),0.0000,13.8000,14.5000,0.0000,14.1500,-0.5750,0,0,1
2018-09-14,V (Oct 2018),0.0000,13.7500,13.9000,0.0000,13.5500,-0.6000,0,0,1
2018-09-17,V (Oct 2018),0.0000,13.7500,13.8500,0.0000,14.1750,0.6250,0,0,1
2018-09-18,V (Oct 2018),0.0000,13.5500,14.0000,0.0000,13.7750,-0.4000,0,0,1
2018-09-19,V (Oct 2018),0.0000,13.1000,13.5500,0.0000,13.4000,-0.3750,0,0,1
2018-09-20,V (Oct 2018),13.1500,13.2000,13.0500,13.2000,13.1750,-0.2250,8,0,9
2018-09-21,V (Oct 2018),0.0000,13.1000,13.1000,0.0000,13.1750,0.0000,0,0,9
2018-09-24,V (Oct 2018),0.0000,13.0500,13.3000,0.0000,13.1250,-0.0500,0,0,9
2018-09-25,V (Oct 2018),13.0000,13.0000,12.9000,12.9000,13.0500,-0.0750,4,0,9
2018-09-26,V (Oct 2018),12.9500,13.0100,12.6500,13.0100,13.1500,0.1000,21,0,30
2018-09-27,V (Oct 2018),12.8400,12.8400,12.7700,12.7700,12.7500,-0.4000,6,0,36
2018-09-28,V (Oct 2018),12.3500,13.0000,12.3500,12.9000,12.8500,0.1000,7,0,38
2018-10-01,V (Oct 2018),12.5000,12.5000,12.4000,12.5000,12.3750,-0.4750,1,0,39
2018-10-02,V (Oct 2018),12.0000,12.3000,11.9000,12.2000,12.1250,-0.2500,17,0,40
2018-10-03,V (Oct 2018),0.0000,11.6000,13.0000,0.0000,11.4000,-0.7250,0,0,40
